Date,Workout_Type,Intensity,Active_Minutes,Steps,Workout_Start
2025-08-28,Rest,None,0,7701,
2025-08-29,Rest,None,0,6751,
2025-08-30,Run,Moderate,40,14033,2025-08-30 07:00:00
2025-08-31,Run,Moderate,25,13355,2025-08-31 18:15:00
2025-09-01,Walk,Light,20,7645,2025-09-01 19:00:00
2025-09-02,Walk,Light,30,15366,2025-09-02 19:30:00
2025-09-03,Strength,High,30,12193,2025-09-03 18:15:00
2025-09-04,Walk,Light,40,9059,2025-09-04 19:15:00
2025-09-05,Walk,Light,30,7165,2025-09-05 13:00:00
2025-09-06,Walk,Light,30,12298,2025-09-06 13:30:00
2025-09-07,Walk,Light,30,13393,2025-09-07 13:00:00
2025-09-08,Run,Moderate,30,7181,2025-09-08 07:00:00
2025-09-09,Walk,Light,30,12499,2025-09-09 19:00:00
2025-09-10,Walk,Light,20,8017,2025-09-10 13:15:00
2025-09-11,Strength,High,30,15203,2025-09-11 19:30:00
2025-09-12,Rest,None,0,9319,
2025-09-13,Run,Moderate,30,12393,2025-09-13 07:30:00
2025-09-14,Rest,None,0,4722,
2025-09-15,Walk,Light,40,9022,2025-09-15 13:00:00
2025-09-16,Walk,Light,20,14436,2025-09-16 13:30:00
2025-09-17,Walk,Light,30,11356,2025-09-17 13:15:00
2025-09-18,Run,Moderate,25,12679,2025-09-18 07:15:00
2025-09-19,Walk,Light,20,9511,2025-09-19 13:30:00
2025-09-20,Run,Moderate,40,15744,2025-09-20 18:15:00
2025-09-21,Strength,High,40,14960,2025-09-21 18:00:00
2025-09-22,Strength,High,50,13410,2025-09-22 17:15:00
2025-09-23,Strength,High,50,15996,2025-09-23 17:30:00
2025-09-24,Walk,Light,20,11412,2025-09-24 13:00:00
2025-09-25,Run,Moderate,25,7430,2025-09-25 07:00:00
2025-09-26,Walk,Light,30,8972,2025-09-26 19:15:00
2025-09-27,Strength,High,30,10671,2025-09-27 17:00:00
2025-09-28,Run,Moderate,25,11344,2025-09-28 07:00:00
2025-09-29,Strength,High,50,12414,2025-09-29 18:15:00
2025-09-30,Walk,Light,40,9143,2025-09-30 19:15:00
2025-10-01,Rest,None,0,11011,
2025-10-02,Walk,Light,30,11931,2025-10-02 13:30:00
2025-10-03,Strength,High,30,12071,2025-10-03 17:30:00
2025-10-04,Walk,Light,30,12887,2025-10-04 19:15:00
2025-10-05,Rest,None,0,4211,
2025-10-06,Walk,Light,30,11437,2025-10-06 13:15:00
2025-10-07,Run,Moderate,30,14746,2025-10-07 07:00:00
2025-10-08,Walk,Light,20,15788,2025-10-08 13:00:00
2025-10-09,Walk,Light,30,10126,2025-10-09 19:00:00
2025-10-10,Rest,None,0,4439,
2025-10-11,Strength,High,50,13334,2025-10-11 18:00:00
2025-10-12,Strength,High,50,9381,2025-10-12 17:30:00
2025-10-13,Run,Moderate,30,8983,2025-10-13 18:15:00
2025-10-14,Run,Moderate,30,11980,2025-10-14 07:30:00
2025-10-15,Strength,High,50,11088,2025-10-15 17:30:00
2025-10-16,Run,Moderate,45,8179,2025-10-16 07:30:00
2025-10-17,Run,Moderate,45,11076,2025-10-17 18:30:00
2025-10-18,Strength,High,30,8982,2025-10-18 17:30:00
2025-10-19,Rest,None,0,9231,
2025-10-20,Walk,Light,40,8305,2025-10-20 19:30:00
2025-10-21,Strength,High,40,8360,2025-10-21 19:00:00
2025-10-22,Walk,Light,30,13699,2025-10-22 13:30:00
2025-10-23,Strength,High,50,9778,2025-10-23 17:15:00
2025-10-24,Rest,None,0,7633,
2025-10-25,Walk,Light,20,12147,2025-10-25 19:15:00
2025-10-26,Walk,Light,20,11565,2025-10-26 13:15:00
2025-10-27,Rest,None,0,10666,
2025-10-28,Strength,High,30,7378,2025-10-28 19:15:00
2025-10-29,Walk,Light,30,13843,2025-10-29 19:15:00
2025-10-30,Run,Moderate,40,10053,2025-10-30 07:00:00
2025-10-31,Strength,High,30,7791,2025-10-31 17:30:00
2025-11-01,Rest,None,0,9524,
2025-11-02,Run,Moderate,45,15240,2025-11-02 18:00:00
2025-11-03,Walk,Light,30,8994,2025-11-03 13:30:00
2025-11-04,Strength,High,30,12257,2025-11-04 18:15:00
2025-11-05,Rest,None,0,3743,
2025-11-06,Rest,None,0,5043,
2025-11-07,Run,Moderate,25,14854,2025-11-07 07:30:00
2025-11-08,Walk,Light,30,13045,2025-11-08 19:30:00
2025-11-09,Run,Moderate,45,13832,2025-11-09 07:00:00
2025-11-10,Rest,None,0,7842,
2025-11-11,Run,Moderate,30,10030,2025-11-11 18:15:00
2025-11-12,Run,Moderate,30,14424,2025-11-12 07:30:00
2025-11-13,Rest,None,0,11795,
2025-11-14,Rest,None,0,9507,
2025-11-15,Run,Moderate,40,8557,2025-11-15 07:30:00
2025-11-16,Walk,Light,40,12566,2025-11-16 13:30:00
2025-11-17,Rest,None,0,6750,
2025-11-18,Strength,High,30,14550,2025-11-18 17:30:00
2025-11-19,Rest,None,0,10284,
2025-11-20,Strength,High,30,15593,2025-11-20 18:30:00
2025-11-21,Strength,High,30,8829,2025-11-21 18:30:00
2025-11-22,Walk,Light,40,15531,2025-11-22 13:30:00
2025-11-23,Strength,High,40,15629,2025-11-23 19:15:00
2025-11-24,Walk,Light,30,15545,2025-11-24 13:15:00
2025-11-25,Rest,None,0,11729,
2025-11-26,Walk,Light,40,8085,2025-11-26 19:15:00
2025-11-27,Walk,Light,30,13375,2025-11-27 13:30:00
2025-11-28,Rest,None,0,11251,
2025-11-29,Run,Moderate,25,9184,2025-11-29 07:15:00
2025-11-30,Rest,None,0,4358,
2025-12-01,Run,Moderate,25,10611,2025-12-01 18:00:00
2025-12-02,Run,Moderate,30,14273,2025-12-02 18:30:00
2025-12-03,Rest,None,0,10726,
2025-12-04,Rest,None,0,11772,
2025-12-05,Rest,None,0,4559,
2025-12-06,Run,Moderate,40,13970,2025-12-06 07:30:00
2025-12-07,Rest,None,0,11062,
2025-12-08,Run,Moderate,45,7074,2025-12-08 07:15:00
2025-12-09,Rest,None,0,6709,
2025-12-10,Rest,None,0,8684,
2025-12-11,Run,Moderate,40,14668,2025-12-11 18:00:00
2025-12-12,Strength,High,30,9772,2025-12-12 18:00:00
2025-12-13,Strength,High,50,13106,2025-12-13 19:30:00
2025-12-14,Strength,High,30,11839,2025-12-14 17:30:00
2025-12-15,Run,Moderate,45,14547,2025-12-15 07:00:00
2025-12-16,Rest,None,0,7501,
2025-12-17,Rest,None,0,11346,
2025-12-18,Strength,High,30,10480,2025-12-18 17:15:00
2025-12-19,Rest,None,0,7204,
2025-12-20,Strength,High,50,15666,2025-12-20 17:00:00
2025-12-21,Rest,None,0,7130,
2025-12-22,Walk,Light,20,14954,2025-12-22 19:00:00
2025-12-23,Run,Moderate,30,9849,2025-12-23 07:30:00
2025-12-24,Walk,Light,20,9136,2025-12-24 19:30:00
2025-12-25,Run,Moderate,45,10759,2025-12-25 18:00:00
2025-12-26,Rest,None,0,4675,
2025-12-27,Strength,High,30,10420,2025-12-27 19:30:00
2025-12-28,Run,Moderate,40,15755,2025-12-28 18:00:00
2025-12-29,Walk,Light,20,9212,2025-12-29 19:30:00
2025-12-30,Walk,Light,40,8633,2025-12-30 19:00:00
2025-12-31,Walk,Light,30,11136,2025-12-31 19:30:00
2026-01-01,Run,Moderate,25,14598,2026-01-01 07:30:00
2026-01-02,Strength,High,40,7281,2026-01-02 17:30:00
2026-01-03,Strength,High,40,8120,2026-01-03 18:15:00
2026-01-04,Rest,None,0,10006,
2026-01-05,Walk,Light,30,11985,2026-01-05 13:30:00
2026-01-06,Rest,None,0,5288,
2026-01-07,Strength,High,40,7044,2026-01-07 19:30:00
2026-01-08,Walk,Light,20,14210,2026-01-08 19:15:00
2026-01-09,Strength,High,40,8993,2026-01-09 18:30:00
2026-01-10,Walk,Light,30,10041,2026-01-10 19:15:00
2026-01-11,Strength,High,40,11902,2026-01-11 17:15:00
2026-01-12,Rest,None,0,8227,
2026-01-13,Run,Moderate,25,14670,2026-01-13 07:30:00
2026-01-14,Walk,Light,30,13454,2026-01-14 13:15:00
2026-01-15,Rest,None,0,6260,
2026-01-16,Rest,None,0,4337,
2026-01-17,Run,Moderate,30,8670,2026-01-17 07:30:00
2026-01-18,Strength,High,30,8373,2026-01-18 17:00:00
2026-01-19,Run,Moderate,25,12010,2026-01-19 07:15:00
2026-01-20,Strength,High,50,7793,2026-01-20 17:15:00
2026-01-21,Run,Moderate,45,8312,2026-01-21 07:00:00
2026-01-22,Walk,Light,40,9613,2026-01-22 19:15:00
2026-01-23,Walk,Light,40,12165,2026-01-23 13:15:00
2026-01-24,Walk,Light,40,9576,2026-01-24 19:30:00
2026-01-25,Walk,Light,20,9337,2026-01-25 19:15:00
2026-01-26,Run,Moderate,30,9975,2026-01-26 18:15:00
2026-01-27,Walk,Light,20,15737,2026-01-27 13:15:00
2026-01-28,Strength,High,40,11672,2026-01-28 19:30:00
2026-01-29,Rest,None,0,4318,
2026-01-30,Strength,High,30,9464,2026-01-30 19:30:00
2026-01-31,Rest,None,0,4837,
2026-02-01,Rest,None,0,11470,
2026-02-02,Rest,None,0,6980,
2026-02-03,Walk,Light,40,10584,2026-02-03 19:30:00
2026-02-04,Walk,Light,20,13494,2026-02-04 19:30:00
2026-02-05,Walk,Light,30,7949,2026-02-05 13:30:00
2026-02-06,Rest,None,0,9044,
2026-02-07,Run,Moderate,45,13747,2026-02-07 07:15:00
2026-02-08,Rest,None,0,9815,
2026-02-09,Rest,None,0,5152,
2026-02-10,Run,Moderate,25,13103,2026-02-10 07:30:00
2026-02-11,Walk,Light,40,12756,2026-02-11 19:30:00
2026-02-12,Walk,Light,20,7019,2026-02-12 19:15:00
2026-02-13,Run,Moderate,30,13584,2026-02-13 18:15:00
2026-02-14,Run,Moderate,40,9196,2026-02-14 18:00:00
2026-02-15,Rest,None,0,3524,
2026-02-16,Rest,None,0,5029,
2026-02-17,Strength,High,30,7824,2026-02-17 17:30:00
2026-02-18,Rest,None,0,6586,
2026-02-19,Strength,High,30,14027,2026-02-19 19:15:00
2026-02-20,Run,Moderate,30,11655,2026-02-20 18:15:00
2026-02-21,Strength,High,50,10481,2026-02-21 18:00:00
2026-02-22,Walk,Light,40,8008,2026-02-22 13:15:00
2026-02-23,Run,Moderate,30,14458,2026-02-23 07:15:00
2026-02-24,Rest,None,0,8517,
2026-02-25,Strength,High,50,10301,2026-02-25 17:30:00
2026-02-26,Walk,Light,40,11181,2026-02-26 19:15:00
2026-02-27,Strength,High,50,10180,2026-02-27 17:00:00
2026-02-28,Run,Moderate,30,14931,2026-02-28 18:00:00
2026-03-01,Walk,Light,20,9761,2026-03-01 19:00:00
2026-03-02,Rest,None,0,9139,
2026-03-03,Run,Moderate,30,8104,2026-03-03 18:15:00
2026-03-04,Walk,Light,30,14320,2026-03-04 13:30:00
2026-03-05,Run,Moderate,30,10771,2026-03-05 07:30:00
2026-03-06,Strength,High,50,14571,2026-03-06 18:15:00
2026-03-07,Rest,None,0,4929,
2026-03-08,Rest,None,0,3345,
2026-03-09,Rest,None,0,3611,
2026-03-10,Walk,Light,20,10977,2026-03-10 13:30:00
2026-03-11,Run,Moderate,40,11978,2026-03-11 18:15:00
2026-03-12,Rest,None,0,10758,
2026-03-13,Strength,High,30,7807,2026-03-13 19:15:00
2026-03-14,Rest,None,0,10583,
2026-03-15,Strength,High,30,8011,2026-03-15 17:30:00
2026-03-16,Strength,High,50,15117,2026-03-16 18:00:00
2026-03-17,Walk,Light,40,11112,2026-03-17 19:15:00
2026-03-18,Rest,None,0,11834,
2026-03-19,Strength,High,40,8356,2026-03-19 18:00:00
2026-03-20,Walk,Light,30,11854,2026-03-20 19:30:00
2026-03-21,Run,Moderate,30,11007,2026-03-21 18:15:00
2026-03-22,Run,Moderate,40,9484,2026-03-22 07:15:00
2026-03-23,Walk,Light,20,13749,2026-03-23 19:30:00
2026-03-24,Walk,Light,30,7170,2026-03-24 13:15:00
2026-03-25,Rest,None,0,3959,
2026-03-26,Rest,None,0,9446,
2026-03-27,Rest,None,0,6015,
2026-03-28,Run,Moderate,30,13271,2026-03-28 18:30:00
2026-03-29,Walk,Light,30,8617,2026-03-29 19:15:00
2026-03-30,Walk,Light,30,13795,2026-03-30 19:00:00
2026-03-31,Strength,High,40,9565,2026-03-31 18:00:00
2026-04-01,Rest,None,0,11579,
2026-04-02,Run,Moderate,45,9172,2026-04-02 07:30:00
2026-04-03,Strength,High,30,7830,2026-04-03 19:30:00
2026-04-04,Rest,None,0,8668,
2026-04-05,Walk,Light,40,12934,2026-04-05 19:30:00
2026-04-06,Rest,None,0,3298,
2026-04-07,Rest,None,0,5807,
2026-04-08,Rest,None,0,9736,
2026-04-09,Rest,None,0,4944,
2026-04-10,Rest,None,0,11427,
2026-04-11,Run,Moderate,30,10179,2026-04-11 07:15:00
2026-04-12,Run,Moderate,45,10747,2026-04-12 07:00:00
2026-04-13,Walk,Light,40,14515,2026-04-13 19:30:00
2026-04-14,Walk,Light,20,15610,2026-04-14 19:30:00
2026-04-15,Rest,None,0,7388,
2026-04-16,Rest,None,0,11573,
2026-04-17,Walk,Light,20,8153,2026-04-17 13:00:00
2026-04-18,Run,Moderate,40,12882,2026-04-18 18:00:00
2026-04-19,Strength,High,30,15456,2026-04-19 19:15:00
2026-04-20,Walk,Light,40,12860,2026-04-20 19:00:00
2026-04-21,Rest,None,0,10539,
2026-04-22,Rest,None,0,10210,
2026-04-23,Rest,None,0,11696,
2026-04-24,Walk,Light,30,8410,2026-04-24 19:30:00
2026-04-25,Run,Moderate,30,10507,2026-04-25 07:00:00
2026-04-26,Strength,High,30,7165,2026-04-26 19:00:00
2026-04-27,Walk,Light,20,9902,2026-04-27 13:00:00
2026-04-28,Strength,High,30,14751,2026-04-28 19:30:00
2026-04-29,Rest,None,0,3418,
2026-04-30,Strength,High,50,12195,2026-04-30 17:30:00
2026-05-01,Walk,Light,20,12830,2026-05-01 19:15:00
2026-05-02,Strength,High,40,13521,2026-05-02 19:30:00
2026-05-03,Walk,Light,30,12878,2026-05-03 13:00:00
2026-05-04,Rest,None,0,10781,
2026-05-05,Walk,Light,30,9170,2026-05-05 19:30:00
2026-05-06,Walk,Light,40,10570,2026-05-06 19:15:00
2026-05-07,Rest,None,0,3501,
2026-05-08,Walk,Light,40,9588,2026-05-08 19:15:00
2026-05-09,Run,Moderate,25,8905,2026-05-09 18:00:00
2026-05-10,Rest,None,0,5084,
2026-05-11,Run,Moderate,30,7952,2026-05-11 07:00:00
2026-05-12,Rest,None,0,6057,
2026-05-13,Strength,High,40,9208,2026-05-13 17:15:00
2026-05-14,Walk,Light,30,12927,2026-05-14 19:00:00
2026-05-15,Run,Moderate,25,15361,2026-05-15 18:15:00
2026-05-16,Walk,Light,30,15815,2026-05-16 13:30:00
2026-05-17,Strength,High,40,7854,2026-05-17 19:30:00
2026-05-18,Strength,High,40,13692,2026-05-18 17:15:00
2026-05-19,Walk,Light,30,8972,2026-05-19 13:30:00
2026-05-20,Rest,None,0,5574,
2026-05-21,Walk,Light,30,8103,2026-05-21 13:15:00
2026-05-22,Run,Moderate,45,8619,2026-05-22 07:00:00
2026-05-23,Walk,Light,20,11741,2026-05-23 19:00:00
2026-05-24,Rest,None,0,11378,
2026-05-25,Strength,High,30,7947,2026-05-25 18:30:00
2026-05-26,Walk,Light,30,15617,2026-05-26 13:15:00
